timestamp sensor_id temperature humidity pressure
2025-06-01T00:00:00Z TS-A17 21.42 48.7 1013.25
2025-06-01T01:00:00Z TS-A17 20.88 49.1 1013.11
2025-06-01T02:00:00Z TS-A17 20.31 50.4 1012.98
2025-06-01T00:00:00Z TS-B04 23.10 44.2 1009.87
2025-06-01T01:00:00Z TS-B04 22.95 44.9 1009.90
2025-06-01T02:00:00Z TS-B04 22.60 45.6 1009.72
2025-06-01T00:00:00Z TS-C22 18.05 61.3 1015.44
2025-06-01T01:00:00Z TS-C22 17.88 62.0 1015.51
2025-06-01T02:00:00Z TS-C22 17.42 63.2 1015.38
2025-06-01T00:00:00Z TS-D09 25.73 38.5 1007.12
2025-06-01T01:00:00Z TS-D09 26.01 37.9 1006.98
2025-06-01T02:00:00Z TS-D09 26.44 37.1 1006.80
2025-06-01T00:00:00Z TS-E31 19.67 55.8 1011.60
2025-06-01T01:00:00Z TS-E31 19.44 56.3 1011.55
2025-06-01T02:00:00Z TS-E31 19.10 57.0 1011.41
